
 Query       Time(secs)   Rows returned
========================================
 query01          12.96             100
 query02          15.56            2513
 query03          15.90              89
 query04          21.21               8
 query05          15.94             100
 query06          13.98              45
 query07          12.21             100
 query08          15.96               5
 query09          11.76               1
 query10          14.80               5
 query11          17.98              88
 query12          18.27             100
 query13          12.39               1
 query14          28.84             100
 query14          11.53             100
 query15          11.59             100
 query16          12.82               1
 query17          16.60               1
 query18          15.43             100
 query19          11.92             100
 query20          17.86             100
 query21          16.89             100
 query22          16.50             100
 query23          20.64               1
 query23           9.48               4
 query24          12.40               0
 query24           4.00               0
 query25          16.74               1
 query26          11.91             100
 query27          13.15             100
 query28          15.53               1
 query29          16.87               1
 query30          12.56             100
 query31          18.16              51
 query32          14.56               1
 query33          19.39             100
 query34          12.89             451
 query35          15.42             100
 query36          17.97             100
 query37          12.29               1
 query38          17.16               1
 query39          16.04             243
 query39           5.87              14
 query40          11.91             100
 query41          17.87               4
 query42          15.34              10
 query43          16.64               6
 query44          13.77              10
 query45          11.26              19
 query46          12.80             100
 query47          23.75             100
 query48          11.96               1
 query49          15.47              32
 query50          13.24               6
 query51          24.33             100
 query52          16.12             100
 query53          18.07             100
 query54          15.23               1
 query55          15.88             100
 query56          17.94             100
 query57          23.54             100
 query58          28.08               3
 query59          13.12             100
 query60          18.81             100
 query61          12.01               1
 query62          16.87             100
 query63          17.79             100
 query64          20.12              10
 query65          17.10             100
 query66          19.04               5
 query67          22.50             100
 query68          12.53             100
 query69          14.56             100
 query70          19.97               3
 query71          16.90            1018
 query72          22.84             100
 query73          12.63               5
 query74          16.35              92
 query75          18.69             100
 query76          16.75             100
 query77          18.24              44
 query78          22.88             100
 query79          12.34             100
 query80          16.50             100
 query81          12.76             100
 query82          13.97               2
 query83          23.78              21
 query84          10.22              25
 query85          16.68               6
 query86          17.13             100
 query87          16.88               1
 query88          14.14               1
 query89          18.63             100
 query90          14.41               1
 query91          11.74               1
 query92          14.23               1
 query93          11.91             100
 query94          11.93               1
 query95           9.94               1
 query96          14.18               1
 query97          21.51               1
 query98          19.36            2516
 query99          16.21              90
