
 Query       Time(secs)   Rows returned
========================================
 query01          18.30             100
 query02          16.88            2513
 query03          17.20              89
 query04          22.27               8
 query05          19.89             100
 query06          15.15              45
 query07          19.44             100
 query08          18.51               5
 query09          11.80               1
 query10          20.27               5
 query11          19.30              88
 query12          17.49             100
 query13          15.47               1
 query14          31.68             100
 query14          17.33             100
 query15          18.31             100
 query16          17.17               1
 query17          20.83               1
 query18          21.93             100
 query19          16.26             100
 query20          23.49             100
 query21          18.70             100
 query22          23.48             100
 query23          22.77               1
 query23          13.55               4
 query24          15.24               0
 query24           7.33               0
 query25          18.09               1
 query26          14.81             100
 query27          18.82             100
 query28          14.51               1
 query29          20.94               1
 query30          19.75             100
 query31          21.03              51
 query32          13.44               1
 query33          23.33             100
 query34          19.34             451
 query35          16.17             100
 query36          24.30             100
 query37          20.31               1
 query38          20.05               1
 query39          18.70             243
 query39           7.10              14
 query40          19.61             100
 query41          15.27               4
 query42          17.33              10
 query43          17.93               6
 query44          19.65              10
 query45          14.99              19
 query46          17.98             100
 query47          21.33             100
 query48          18.83               1
 query49          16.91              32
 query50          20.05               6
 query51          24.30             100
 query52          20.82             100
 query53          20.17             100
 query54          18.27               1
 query55          18.45             100
 query56          20.25             100
 query57          20.91             100
 query58          34.46               3
 query59          18.67             100
 query60          28.36             100
 query61          15.75               1
 query62          18.75             100
 query63          18.92             100
 query64          20.93              10
 query65          21.10             100
 query66          20.98               5
 query67          20.31             100
 query68          17.31             100
 query69          15.92             100
 query70          27.84               3
 query71          17.26            1018
 query72          40.45             100
 query73          18.93               5
 query74          23.13              92
 query75          17.64             100
 query76          16.00             100
 query77          16.17              44
 query78          20.64             100
 query79          19.84             100
 query80          18.30             100
 query81          16.92             100
 query82          18.57               2
 query83          19.67              21
 query84          15.11              25
 query85          22.22               6
 query86          18.42             100
 query87          18.27               1
 query88          14.59               1
 query89          18.16             100
 query90          17.19               1
 query91          14.70               1
 query92          18.59               1
 query93          21.46             100
 query94          13.11               1
 query95          20.33               1
 query96          17.18               1
 query97          18.83               1
 query98          20.07            2516
 query99          16.94              90
